workerid,proliferate.condition,accuracy,coding,failed_audio,failed_images,failed_video,internal_node_id,lex_code,response,result,rt,sib_code,slider_start,spk,stimulus,success,time_elapsed,timeout,trial_index,trial_type,triplet_id,error
910,list3,,,,,,0.0-6.0-0.2,neutral,4168,,5927,control,5000,723,audio/723_CN9.wav,,69915,,10,audio-slider-response,9,
910,list3,,,,,,0.0-6.0-1.2,,,,,,,,,,70420,,11,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.3,neutral,5659,,5172,control,5000,723,audio/723_CN14.wav,,75595,,12,audio-slider-response,14,
910,list3,,,,,,0.0-6.0-1.3,,,,,,,,,,76097,,13,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.4,neutral,462,,6403,high,5000,246,audio/246_SN10_high.wav,,82503,,14,audio-slider-response,10,
910,list3,,,,,,0.0-6.0-1.4,,,,,,,,,,83011,,15,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.5,neutral,5601,,4145,mid,5000,723,audio/723_SN14_mid.wav,,87161,,16,audio-slider-response,14,
910,list3,,,,,,0.0-6.0-1.5,,,,,,,,,,87664,,17,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.6,neutral,4495,,5573,control,5000,723,audio/723_CN15.wav,,93235,,18,audio-slider-response,15,
910,list3,,,,,,0.0-6.0-1.6,,,,,,,,,,93738,,19,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.7,neutral,3475,,4882,control,5000,246,audio/246_CN7.wav,,98624,,20,audio-slider-response,7,
910,list3,,,,,,0.0-6.0-1.7,,,,,,,,,,99129,,21,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.8,neutral,3433,,3576,control,5000,246,audio/246_CN15.wav,,102707,,22,audio-slider-response,15,
910,list3,,,,,,0.0-6.0-1.8,,,,,,,,,,103209,,23,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.9,neutral,7240,,4470,control,5000,723,audio/723_CN5.wav,,107681,,24,audio-slider-response,5,
910,list3,,,,,,0.0-6.0-1.9,,,,,,,,,,108187,,25,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.10,neutral,1974,,4203,control,5000,246,audio/246_CN10.wav,,112394,,26,audio-slider-response,10,
910,list3,,,,,,0.0-6.0-1.10,,,,,,,,,,112897,,27,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.11,neutral,6343,,4748,high,5000,723,audio/723_SN16_high.wav,,117647,,28,audio-slider-response,16,
910,list3,,,,,,0.0-6.0-1.11,,,,,,,,,,118154,,29,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.12,neutral,3746,,5944,low,5000,246,audio/246_SN9_low.wav,,124104,,30,audio-slider-response,9,
910,list3,,,,,,0.0-6.0-1.12,,,,,,,,,,124610,,31,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.13,neutral,6371,,3994,control,5000,723,audio/723_CN1.wav,,128605,,32,audio-slider-response,1,
910,list3,,,,,,0.0-6.0-1.13,,,,,,,,,,129114,,33,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.14,neutral,6031,,4394,control,5000,723,audio/723_CN8.wav,,133509,,34,audio-slider-response,8,
910,list3,,,,,,0.0-6.0-1.14,,,,,,,,,,134016,,35,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.15,neutral,6485,,5497,mid,5000,723,audio/723_SN7_mid.wav,,139517,,36,audio-slider-response,7,
910,list3,,,,,,0.0-6.0-1.15,,,,,,,,,,140028,,37,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.16,neutral,7372,,3297,high,5000,723,audio/723_SN21_high.wav,,143330,,38,audio-slider-response,21,
910,list3,,,,,,0.0-6.0-1.16,,,,,,,,,,143836,,39,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.17,neutral,7110,,3576,control,5000,723,audio/723_CN16.wav,,147413,,40,audio-slider-response,16,
910,list3,,,,,,0.0-6.0-1.17,,,,,,,,,,147922,,41,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.18,neutral,1698,,4336,control,5000,246,audio/246_CN3.wav,,152263,,42,audio-slider-response,3,
910,list3,,,,,,0.0-6.0-1.18,,,,,,,,,,152767,,43,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.19,neutral,0,,4423,low,5000,246,audio/246_SN19_low.wav,,157190,,44,audio-slider-response,19,
910,list3,,,,,,0.0-6.0-1.19,,,,,,,,,,157698,,45,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.20,neutral,1895,,4621,control,5000,246,audio/246_CN18.wav,,162319,,46,audio-slider-response,18,
910,list3,,,,,,0.0-6.0-1.20,,,,,,,,,,162826,,47,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.21,neutral,1623,,3959,control,5000,246,audio/246_CN16.wav,,166786,,48,audio-slider-response,16,
910,list3,,,,,,0.0-6.0-1.21,,,,,,,,,,167288,,49,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.22,neutral,8773,,4679,control,5000,723,audio/723_CN18.wav,,171971,,50,audio-slider-response,18,
910,list3,,,,,,0.0-6.0-1.22,,,,,,,,,,172472,,51,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.23,neutral,6767,,3727,low,5000,723,audio/723_SN15_low.wav,,176202,,52,audio-slider-response,15,
910,list3,,,,,,0.0-6.0-1.23,,,,,,,,,,176705,,53,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.24,neutral,7814,,2902,mid,5000,723,audio/723_SN13_mid.wav,,179610,,54,audio-slider-response,13,
910,list3,,,,,,0.0-6.0-1.24,,,,,,,,,,180114,,55,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.25,neutral,1517,,5381,control,5000,246,audio/246_CN1.wav,,185494,,56,audio-slider-response,1,
910,list3,,,,,,0.0-6.0-1.25,,,,,,,,,,186000,,57,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.26,neutral,2056,,5242,mid,5000,246,audio/246_SN7_mid.wav,,191242,,58,audio-slider-response,7,
910,list3,,,,,,0.0-6.0-1.26,,,,,,,,,,191744,,59,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.27,neutral,8853,,4116,low,5000,723,audio/723_SN20_low.wav,,195866,,60,audio-slider-response,20,
910,list3,,,,,,0.0-6.0-1.27,,,,,,,,,,196371,,61,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.28,neutral,137,,5712,low,5000,246,audio/246_SN18_low.wav,,202087,,62,audio-slider-response,18,
910,list3,,,,,,0.0-6.0-1.28,,,,,,,,,,202594,,63,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.29,neutral,863,,4180,high,5000,246,audio/246_SN17_high.wav,,206778,,64,audio-slider-response,17,
910,list3,,,,,,0.0-6.0-1.29,,,,,,,,,,207284,,65,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.30,neutral,1845,,5735,mid,5000,246,audio/246_SN8_mid.wav,,213022,,66,audio-slider-response,8,
910,list3,,,,,,0.0-6.0-1.30,,,,,,,,,,213530,,67,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.31,neutral,560,,4023,control,5000,246,audio/246_CN20.wav,,217556,,68,audio-slider-response,20,
910,list3,,,,,,0.0-6.0-1.31,,,,,,,,,,218057,,69,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.32,neutral,9045,,4313,control,5000,723,audio/723_CN17.wav,,222370,,70,audio-slider-response,17,
910,list3,,,,,,0.0-6.0-1.32,,,,,,,,,,222877,,71,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.33,neutral,1359,,3982,control,5000,246,audio/246_CN14.wav,,226859,,72,audio-slider-response,14,
910,list3,,,,,,0.0-6.0-1.33,,,,,,,,,,227361,,73,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.34,neutral,9835,,6496,low,5000,723,audio/723_SN19_low.wav,,233857,,74,audio-slider-response,19,
910,list3,,,,,,0.0-6.0-1.34,,,,,,,,,,234364,,75,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.35,neutral,1118,,4470,mid,5000,246,audio/246_SN14_mid.wav,,238840,,76,audio-slider-response,14,
910,list3,,,,,,0.0-6.0-1.35,,,,,,,,,,239345,,77,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.36,neutral,1465,,4116,control,5000,246,audio/246_CN8.wav,,243464,,78,audio-slider-response,8,
910,list3,,,,,,0.0-6.0-1.36,,,,,,,,,,243968,,79,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.37,neutral,329,,5120,mid,5000,246,audio/246_SN1_mid.wav,,249089,,80,audio-slider-response,1,
910,list3,,,,,,0.0-6.0-1.37,,,,,,,,,,249592,,81,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.38,neutral,9211,,2902,control,5000,723,audio/723_CN13.wav,,252497,,82,audio-slider-response,13,
910,list3,,,,,,0.0-6.0-1.38,,,,,,,,,,253001,,83,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.39,neutral,1583,,5561,control,5000,246,audio/246_CN9.wav,,258561,,84,audio-slider-response,9,
910,list3,,,,,,0.0-6.0-1.39,,,,,,,,,,259065,,85,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.40,neutral,3670,,6095,high,5000,246,audio/246_SN21_high.wav,,265165,,86,audio-slider-response,21,
910,list3,,,,,,0.0-6.0-1.40,,,,,,,,,,265671,,87,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.41,neutral,9570,,4870,control,5000,723,audio/723_CN7.wav,,270541,,88,audio-slider-response,7,
910,list3,,,,,,0.0-6.0-1.41,,,,,,,,,,271052,,89,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.42,neutral,10000,,3884,control,5000,723,audio/723_CN3.wav,,274940,,90,audio-slider-response,3,
910,list3,,,,,,0.0-6.0-1.42,,,,,,,,,,275452,,91,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.43,neutral,8994,,4447,low,5000,723,audio/723_SN5_low.wav,,279901,,92,audio-slider-response,5,
910,list3,,,,,,0.0-6.0-1.43,,,,,,,,,,280410,,93,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.44,neutral,8919,,3855,high,5000,723,audio/723_SN2_high.wav,,284267,,94,audio-slider-response,2,
910,list3,,,,,,0.0-6.0-1.44,,,,,,,,,,284769,,95,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.45,neutral,3628,,4702,control,5000,246,audio/246_CN13.wav,,289475,,96,audio-slider-response,13,
910,list3,,,,,,0.0-6.0-1.45,,,,,,,,,,289976,,97,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.46,neutral,9635,,3907,control,5000,723,audio/723_CN2.wav,,293885,,98,audio-slider-response,2,
910,list3,,,,,,0.0-6.0-1.46,,,,,,,,,,294394,,99,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.47,neutral,1496,,3738,control,5000,246,audio/246_CN19.wav,,298137,,100,audio-slider-response,19,
910,list3,,,,,,0.0-6.0-1.47,,,,,,,,,,298643,,101,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.48,neutral,9939,,3396,control,5000,723,audio/723_CN4.wav,,302042,,102,audio-slider-response,4,
910,list3,,,,,,0.0-6.0-1.48,,,,,,,,,,302544,,103,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.49,neutral,2916,,3733,high,5000,246,audio/246_SN16_high.wav,,306281,,104,audio-slider-response,16,
910,list3,,,,,,0.0-6.0-1.49,,,,,,,,,,306788,,105,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.50,neutral,10000,,3373,control,5000,723,audio/723_CN21.wav,,310163,,106,audio-slider-response,21,
910,list3,,,,,,0.0-6.0-1.50,,,,,,,,,,310665,,107,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.51,neutral,2676,,4481,control,5000,246,audio/246_CN5.wav,,315147,,108,audio-slider-response,5,
910,list3,,,,,,0.0-6.0-1.51,,,,,,,,,,315650,,109,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.52,neutral,1513,,6536,control,5000,246,audio/246_CN17.wav,,322189,,110,audio-slider-response,17,
910,list3,,,,,,0.0-6.0-1.52,,,,,,,,,,322695,,111,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.53,neutral,9406,,5149,mid,5000,723,audio/723_SN8_mid.wav,,327848,,112,audio-slider-response,8,
910,list3,,,,,,0.0-6.0-1.53,,,,,,,,,,328353,,113,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.54,neutral,392,,8707,high,5000,246,audio/246_SN4_high.wav,,337062,,114,audio-slider-response,4,
910,list3,,,,,,0.0-6.0-1.54,,,,,,,,,,337570,,115,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.55,neutral,9840,,5660,low,5000,723,audio/723_SN9_low.wav,,343226,,116,audio-slider-response,9,
910,list3,,,,,,0.0-6.0-1.55,,,,,,,,,,343729,,117,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.56,neutral,10000,,4383,high,5000,723,audio/723_SN10_high.wav,,348108,,118,audio-slider-response,10,
910,list3,,,,,,0.0-6.0-1.56,,,,,,,,,,348618,,119,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.57,neutral,638,,4940,high,5000,246,audio/246_SN2_high.wav,,353562,,120,audio-slider-response,2,
910,list3,,,,,,0.0-6.0-1.57,,,,,,,,,,354063,,121,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.58,neutral,1381,,8400,mid,5000,246,audio/246_SN13_mid.wav,,362463,,122,audio-slider-response,13,
910,list3,,,,,,0.0-6.0-1.58,,,,,,,,,,362968,,123,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.59,neutral,10000,,3634,control,5000,723,audio/723_CN20.wav,,366604,,124,audio-slider-response,20,
910,list3,,,,,,0.0-6.0-1.59,,,,,,,,,,367110,,125,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.60,neutral,10000,,2914,mid,5000,723,audio/723_SN3_mid.wav,,370023,,126,audio-slider-response,3,
910,list3,,,,,,0.0-6.0-1.60,,,,,,,,,,370528,,127,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.61,neutral,7922,,4580,high,5000,723,audio/723_SN17_high.wav,,375108,,128,audio-slider-response,17,
910,list3,,,,,,0.0-6.0-1.61,,,,,,,,,,375612,,129,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.62,neutral,5861,,5939,high,5000,723,audio/723_SN4_high.wav,,381553,,130,audio-slider-response,4,
910,list3,,,,,,0.0-6.0-1.62,,,,,,,,,,382061,,131,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.63,neutral,2555,,4778,low,5000,246,audio/246_SN5_low.wav,,386842,,132,audio-slider-response,5,
910,list3,,,,,,0.0-6.0-1.63,,,,,,,,,,387344,,133,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.64,neutral,1644,,4830,mid,5000,246,audio/246_SN3_mid.wav,,392174,,134,audio-slider-response,3,
910,list3,,,,,,0.0-6.0-1.64,,,,,,,,,,392683,,135,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.65,neutral,1462,,4673,low,5000,246,audio/246_SN20_low.wav,,397360,,136,audio-slider-response,20,
910,list3,,,,,,0.0-6.0-1.65,,,,,,,,,,397868,,137,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.66,neutral,8633,,4441,mid,5000,723,audio/723_SN1_mid.wav,,402309,,138,audio-slider-response,1,
910,list3,,,,,,0.0-6.0-1.66,,,,,,,,,,402818,,139,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.67,neutral,3145,,5503,control,5000,246,audio/246_CN21.wav,,408328,,140,audio-slider-response,21,
910,list3,,,,,,0.0-6.0-1.67,,,,,,,,,,408834,,141,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.68,neutral,10000,,3454,control,5000,723,audio/723_CN19.wav,,412288,,142,audio-slider-response,19,
910,list3,,,,,,0.0-6.0-1.68,,,,,,,,,,412792,,143,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.69,neutral,10000,,4510,control,5000,723,audio/723_CN10.wav,,417305,,144,audio-slider-response,10,
910,list3,,,,,,0.0-6.0-1.69,,,,,,,,,,417809,,145,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.70,neutral,7983,,4412,low,5000,723,audio/723_SN18_low.wav,,422224,,146,audio-slider-response,18,
910,list3,,,,,,0.0-6.0-1.70,,,,,,,,,,422731,,147,html-keyboard-response,,
910,list3,,,,,,0.0-6.0-0.71,neutral,493,,3727,low,5000,246,audio/246_SN15_low.wav,,426463,,148,audio-slider-response,15,
910,list3,,,,,,0.0-6.0-1.71,,,,,,,,,,426968,,149,html-keyboard-response,,
910,list3,,,,,,0.0-7.0,,0,,11699,,,,"<p><font size='3'>You have completed the listening trials. You will now complete a short questionnaire. During the questionnaire, you will see a series of statements alongside a scale. Click along the scale to indicate how much you agree or disagree with the statement. Upon completion of the questionnaire, you will be asked to fill out an optional demographic survey. <br><br>When you're ready to begin the questionnaire, click ‘Continue’.</font></p>",,438669,,150,html-button-response,,
910,list3,,NEGATIVE,,,,0.0-8.0-0.0,,,,,,5000,,The freedom that children are given should be determined by their age and maturity level and not by their sex.<br><br>,,458679,,151,html-slider-response,,
910,list3,,POSITIVE,,,,0.0-8.0-0.1,,8205,,10397,,5000,,A father’s major responsibility is to provide financially for his children.<br><br>,,469078,,152,html-slider-response,,
910,list3,,NEGATIVE,,,,0.0-8.0-0.2,,10000,,9999,,5000,,People can be both aggressive and nurturing regardless of sex.<br><br>,,479078,,153,html-slider-response,,
910,list3,,POSITIVE,,,,0.0-8.0-0.3,,8051,,10011,,5000,,Only some types of work are appropriate for both men and women.<br><br>,,489091,,154,html-slider-response,,
910,list3,,POSITIVE,,,,0.0-8.0-0.4,,5472,,11056,,5000,,Mothers should make most decisions about how children are brought up.<br><br>,,500149,,155,html-slider-response,,
910,list3,,POSITIVE,,,,0.0-8.0-0.5,,4147,,8413,,5000,,"For many important jobs, it is better to choose men instead of women.<br><br>",,508563,,156,html-slider-response,,
910,list3,,POSITIVE,,,,0.0-8.0-0.6,,6029,,9629,,5000,,Girls should be protected and watched over more than boys.<br><br>,,518194,,157,html-slider-response,,
910,list3,,NEGATIVE,,,,0.0-8.0-0.7,,5973,,11630,,5000,,We should stop thinking about whether people are male or female and focus on other characteristics.<br><br>,,529826,,158,html-slider-response,,
910,list3,,POSITIVE,,,,0.0-8.0-0.8,,6351,,8278,,5000,,Some types of work are just not appropriate for women.<br><br>,,538105,,159,html-slider-response,,
910,list3,,POSITIVE,,,,0.0-8.0-0.9,,4453,,6231,,5000,,Men are more sexual than women.<br><br>,,544338,,160,html-slider-response,,
910,list3,,POSITIVE,,,,0.0-8.0-0.10,,5819,,13127,,5000,,Mothers should work only if necessary.<br><br>,,557466,,161,html-slider-response,,
910,list3,,NEGATIVE,,,,0.0-8.0-0.11,,8749,,7502,,5000,,People should be treated the same regardless of their sex.<br><br>,,564970,,162,html-slider-response,,
910,list3,,NEGATIVE,,,,0.0-8.0-0.12,,0,,4419,,5000,,Tasks around the house should not be assigned by sex.<br><br>,,569391,,163,html-slider-response,,
910,list3,,,,,,0.0-9.0,,0,,10934,,,,"<p><font size='3'>You have completed the questionnaire. There will now be an optional survey. Please answer the following questions if you feel comfortable doing so. If you do not wish to answer a question, please leave it blank. <br><br>When you're ready to procede, click ‘Continue’.</font></p>",,580326,,164,html-button-response,,
910,list3,[],,,,,0.0-10.0,,"{'age': '50', 'race': 'Caucasian', 'P0_Q0': None, 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'region': 'West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'language': 'English', 'education': 'Graduated college', 'political': 'Moderate'}",,58765,,,,,,639209,,165,survey,,
910,list3,,,,,,0.0-11.0,,0,,2515,,,,Thank you for your time! Please click 'Finish' and then wait a moment until you're directed back to Prolific.<br><br>,,641727,,166,html-button-response,,
913,list3,,,[],[],[],0.0-0.0,,,,,,,,,True,11434,False,0,preload,,
913,list3,,,,,,0.0-1.0,,0,,17895,,,,"<p><font size='3'>DESCRIPTION: You are invited to participate in a research study. Its general purpose is to understand how people perceive speech. We are interested in how people make use of varying properties of language to infer social information about a speaker. In this study, you will hear spoken sentences, and you will be asked to make simple decisions about the sentences you hear. Following this, you will be asked to complete a short questionnaire, where you will indicate on a sliding scale how much you agree or disagree with a series of statements. You will also be asked to complete an optional demographic survey. <br><br>TIME INVOLVEMENT: Your participation will take approximately 10 to 20 minutes. <br><br>RISKS AND BENEFITS: The foreseeable risks associated with this study are minimal. This judgment is based on a large body of experience with the same or similar procedures with people of similar ages, sex, origins, etc. Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. There are no known benefits to you for participating in this study, and we cannot and do not guarantee or promise that you will receive any benefits from this study. You will help us to understand how people perceive spoken language. <br><br>PAYMENT: You will be paid at the posted rate. <br><br>PARTICIPANT RIGHTS: If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals. Your individual privacy will be maintained in all published and written data resulting from the study. In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you. <br><br>CONTACT INFORMATION: If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director Grace Brown at (616) 498-8188. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306 USA. <br><br>WAIVER OF DOCUMENTATION: If you agree to participate in this research, please click the 'Continue' button. </font></p>",,29332,,1,html-button-response,,
913,list3,,,,,,0.0-2.0,,0,,5030,,,,"<p><font size='3'>This study requires you to listen to audio clips. To ensure you can adequately hear the audio presented in this study, the next page will have an audio attention check. Please wear headphones, and be prepared to adjust the volume on your device if necessary. <br><br> When you are ready to begin the audio attention check, click 'Start'. </font></p>",,34363,,2,html-button-response,,
913,list3,,,,,,0.0-3.0,,2,correct,5771,,,,audio/gift.wav,,40228,,3,audio-button-response,,
913,list3,,,,,,0.0-4.0,,0,,1782,,,,<p>Correct! You are ready to begin the study.</p>,,42011,,4,html-button-response,,
913,list3,,,,,,0.0-5.0,,0,,4520,,,,"<p><font size='3'>In this experiment, you will listen to a series of sentences, produced by different speakers. While listening to each sentence, you will be prompted to rate the social characteristics of its speaker. To rate the social characteristics of a speaker, click along the scale that appears on your screen. You may click along this scale after the speaker stops talking. Try to respond as quickly as you can. If you do not respond within ten seconds, the experiment will advance automatically. There will be a progress bar at the top of the screen. When you're ready to hear the first speaker, click ‘Start’. </font></p>",,46531,,5,html-button-response,,
913,list3,,,,,,0.0-6.0-0.0,neutral,,,,control,5000,246,audio/246_CN18.wav,,56552,,6,audio-slider-response,18,
913,list3,,,,,,0.0-6.0-1.0,,,,,,,,,,57068,,7,html-keyboard-response,,
913,list3,,,,,,0.0-6.0-0.1,neutral,,,,control,5000,246,audio/246_CN4.wav,,67088,,8,audio-slider-response,4,
913,list3,,,,,,0.0-6.0-1.1,,,,,,,,,,67605,,9,html-keyboard-response,,
913,list3,,,,,,0.0-6.0-0.2,neutral,,,,low,5000,246,audio/246_SN18_low.wav,,77618,,10,audio-slider-response,18,
913,list3,,,,,,0.0-6.0-1.2,,,,,,,,,,78134,,11,html-keyboard-response,,
913,list3,,,,,,0.0-6.0-0.3,neutral,,,,control,5000,723,audio/723_CN16.wav,,88143,,12,audio-slider-response,16,
913,list3,,,,,,0.0-6.0-1.3,,,,,,,,,,88657,,13,html-keyboard-response,,
